epoch,train_loss,train_dice,train_iou,train_recall,val_loss,val_dice,val_iou,val_recall,lr
1,0.911048,0.009274,0.004713,0.818726,0.908293,0.025592,0.013315,0.191295,0.00085355
2,0.841494,0.007448,0.003771,0.034674,0.887772,0.126461,0.125734,0.375742,0.00050000
3,0.743596,0.083880,0.083607,0.166958,1.424066,0.125000,0.125000,0.125000,0.00014645
4,1.166630,0.083333,0.083333,0.083333,0.743360,0.375000,0.375000,0.375000,0.00000000
